driver,step,n,event
LEC,bounds,60,2025 Canadian Grand Prix
NOR,bounds,61,2025 Canadian Grand Prix
OCO,bounds,62,2025 Canadian Grand Prix
PIA,bounds,61,2025 Canadian Grand Prix
RUS,bounds,61,2025 Canadian Grand Prix
SAI,bounds,61,2025 Canadian Grand Prix
STR,bounds,60,2025 Canadian Grand Prix
TSU,bounds,62,2025 Canadian Grand Prix
VER,bounds,61,2025 Canadian Grand Prix
ALB,no_sc_vsc,43,2025 Canadian Grand Prix
ALO,no_sc_vsc,59,2025 Canadian Grand Prix
ANT,no_sc_vsc,58,2025 Canadian Grand Prix
BEA,no_sc_vsc,57,2025 Canadian Grand Prix
BOR,no_sc_vsc,60,2025 Canadian Grand Prix
COL,no_sc_vsc,60,2025 Canadian Grand Prix
GAS,no_sc_vsc,59,2025 Canadian Grand Prix
HAD,no_sc_vsc,58,2025 Canadian Grand Prix
HAM,no_sc_vsc,59,2025 Canadian Grand Prix
HUL,no_sc_vsc,61,2025 Canadian Grand Prix
LAW,no_sc_vsc,48,2025 Canadian Grand Prix
LEC,no_sc_vsc,57,2025 Canadian Grand Prix
NOR,no_sc_vsc,61,2025 Canadian Grand Prix
OCO,no_sc_vsc,60,2025 Canadian Grand Prix
PIA,no_sc_vsc,59,2025 Canadian Grand Prix
RUS,no_sc_vsc,59,2025 Canadian Grand Prix
SAI,no_sc_vsc,59,2025 Canadian Grand Prix
STR,no_sc_vsc,58,2025 Canadian Grand Prix
TSU,no_sc_vsc,60,2025 Canadian Grand Prix
VER,no_sc_vsc,59,2025 Canadian Grand Prix
ALB,trimmed,37,2025 Canadian Grand Prix
ALO,trimmed,53,2025 Canadian Grand Prix
ANT,trimmed,52,2025 Canadian Grand Prix
BEA,trimmed,51,2025 Canadian Grand Prix
BOR,trimmed,54,2025 Canadian Grand Prix
COL,trimmed,54,2025 Canadian Grand Prix
GAS,trimmed,53,2025 Canadian Grand Prix
